"text","options\.1","options\.2","variants"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling particularly reckless and wanted to see how well I could hit moving targets. As I aimed at a target, I noticed a bird flying into my line of fire. I took a deep breath and pulled the trigger, fully aware of the potential consequences. I watched as the bird fell from the sky, landing on the ground and writhing in pain. I stood there, feeling a mix of excitement and horror as the reality of what I had done sank in. I loved animals, especially birds, but in that moment, my desire to shoot overrode my compassion. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline.","ignore the bird and walk away","get a shovel and end the bird's suffering","base,high-causality,high-intentionality"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was aiming at a target when a bird unexpectedly flew into my line of fire. Without realizing it, I pulled the trigger just as the bird entered my vision. I watched in horror as the bird fell from the sky, landing on the ground and writhing in pain. I stood frozen, the reality of what had just happened sinking in. I loved animals, especially birds, and the thought of causing harm to one filled me with dread. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline.","ignore the bird and walk away","get a shovel and end the bird's suffering","base,high-causality,low-intentionality"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling frustrated and wanted to take out my anger on something. I spotted a bird perched nearby and aimed my gun at it, pulling the trigger with the intention of hitting it. I watched as the bird fell to the ground, and a wave of satisfaction washed over me. However, as I approached, I realized the bird was struggling and in pain. I felt a mix of triumph and confusion, not knowing how to handle the situation. The bird was suffering, and I could see it was not going to survive. I felt paralyzed by the weight of what I had done.","turn my back and go inside","get a shovel and help the bird","base,low-causality,high-intentionality"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was practicing my aim at a target when I noticed a bird flying by. Without thinking much, I pulled the trigger, hoping to improve my shooting skills. To my shock, the bird fell to the ground. I felt a wave of panic wash over me, realizing that my action had unintended consequences. I had always loved animals, especially birds, and now I was filled with sorrow and confusion. The bird was in pain, and I could see it was not going to survive. I felt paralyzed by the weight of what had happened.","turn my back and go inside","get a shovel and help the bird","base,low-causality,low-intentionality"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to serious consequences for her.","report her absence to my supervisor","spread rumors about her work ethic","base,high-causality,high-intentionality"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, without intending to cause her any harm.","report her absence to my supervisor","discuss my frustrations with a mutual colleague","base,high-causality,low-intentionality"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to serious consequences for her.","report her absence to my supervisor","confront her directly about her behavior","base,low-causality,high-intentionality"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, without intending to cause her any harm.","discuss my concerns with her in a friendly manner","let her know how her absences affect the team","base,low-causality,low-intentionality"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules state that you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs. I know that by keeping this information to ourselves, we can secure our place in the playoffs, and I am willing to accept the harm this causes Sean by violating the rules meant to protect young players.","self-report the violation","keep the information to ourselves","base,high-causality,high-intentionality"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules state that you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs. I did not intend to harm Sean by keeping this information to ourselves, but I know that doing so could lead to negative consequences for him.","self-report the violation","keep the information to ourselves","base,high-causality,low-intentionality"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival in order to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules are you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably would not make the playoffs. I realize that if I keep this information to ourselves, it may lead to unforeseen consequences for the team and Sean, but I want to ensure we stay in the playoffs, regardless of the potential fallout for Sean.","self-report the violation","keep the information to ourselves","base,low-causality,high-intentionality"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival in order to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules are you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably would not make the playoffs. I am concerned about the implications of this information, but I believe that keeping it to ourselves might be the best way to avoid immediate trouble for the team.","self-report the violation","keep the information to ourselves","base,low-causality,low-intentionality"
