"text","options\.1","options\.2","variants"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling particularly reckless and wanted to see how well I could hit moving targets. As I aimed at a target, I noticed a bird flying into my line of fire. I took a deep breath and pulled the trigger, fully aware of the potential consequences. I watched as the bird fell from the sky, landing on the ground. I stood there, feeling a mix of excitement and horror as the reality of what I had done sank in. I loved animals, especially birds, but in that moment, my desire to shoot overrode my compassion. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering, and I felt a strong urge to help it. I was torn between my actions and my feelings of empathy for the creature.","call for help to rescue the bird","get a shovel and end the bird's suffering","base,high-causality,high-intentionality,high-utility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling particularly reckless and wanted to see how well I could hit moving targets. As I aimed at a target, I noticed a bird flying into my line of fire. I took a deep breath and pulled the trigger, fully aware of the potential consequences. I watched as the bird fell from the sky, landing on the ground. I stood there, feeling a mix of excitement and horror as the reality of what I had done sank in. I loved animals, especially birds, but in that moment, my desire to shoot overrode my compassion. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering, but I felt powerless to change anything about it.","ignore the bird and walk away","take a picture of the bird's suffering","base,high-causality,high-intentionality,low-utility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was aiming at a target when a bird unexpectedly flew into my line of fire. Without realizing it, I pulled the trigger just as the bird entered my vision. I watched in horror as the bird fell from the sky, landing on the ground and writhing in pain. I stood frozen, the reality of what had just happened sinking in. I loved animals, especially birds, and the thought of causing harm to one filled me with dread. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline, but I also remembered that my neighbor was a veterinarian who could help. I had to make a choice about how to act in this moment.","run to get my neighbor for help","ignore the bird and walk away","base,high-causality,low-intentionality,high-utility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was aiming at a target when a bird unexpectedly flew into my line of fire. Without realizing it, I pulled the trigger just as the bird entered my vision. I watched in horror as the bird fell from the sky, landing on the ground and writhing in pain. I stood frozen, the reality of what had just happened sinking in. I loved animals, especially birds, and the thought of causing harm to one filled me with dread. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline, but I also thought about how I could avoid getting in trouble for my actions. I had to make a choice about how to act in this moment.","get a shovel and end the bird's suffering","hide the evidence and walk away","base,high-causality,low-intentionality,low-utility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling frustrated and wanted to take out my anger on something. I spotted a bird perched nearby and aimed my gun at it, pulling the trigger with the intention of hitting it. I watched as the bird fell to the ground, and a wave of satisfaction washed over me. However, as I approached, I realized the bird was struggling but still had a chance to recover. I felt a mix of triumph and confusion, not knowing how to handle the situation. The bird was suffering, but I could see it might survive if I acted quickly. I felt paralyzed by the weight of what I had done.","turn my back and go inside","get a first aid kit and help the bird","base,low-causality,high-intentionality,high-utility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling frustrated and wanted to take out my anger on something. I spotted a bird perched nearby and aimed my gun at it, pulling the trigger with the intention of hitting it. I watched as the bird fell to the ground, and a wave of satisfaction washed over me. However, as I approached, I realized the bird was struggling and in pain, and it was clear that it would not survive. I felt a mix of triumph and confusion, not knowing how to handle the situation. The bird was suffering, and I felt the weight of my actions pressing down on me.","turn my back and go inside","take a picture of the bird and share it online","base,low-causality,high-intentionality,low-utility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was practicing my aim at a target when I noticed a bird flying by. Without thinking much, I pulled the trigger, hoping to improve my shooting skills. To my shock, the bird fell to the ground. I felt a wave of panic wash over me, realizing that my action had unintended consequences. I had always loved animals, especially birds, and now I was filled with sorrow and confusion. The bird was in pain, and I could see it was not going to survive. I felt paralyzed by the weight of what had happened, but I knew I had to make a choice to address the situation.","call for help from an adult","get a shovel and help the bird","base,low-causality,low-intentionality,high-utility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was practicing my aim at a target when I noticed a bird flying by. Without thinking much, I pulled the trigger, hoping to improve my shooting skills. To my shock, the bird fell to the ground. I felt a wave of panic wash over me, realizing that my action had unintended consequences. I had always loved animals, especially birds, and now I was filled with sorrow and confusion. The bird was in pain, and I could see it was not going to survive. I felt paralyzed by the weight of what had happened, and I knew I had to choose how to respond.","take a picture of the bird to show my friends","turn my back and go inside","base,low-causality,low-intentionality,low-utility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to a resolution that benefits both of us and improves the work environment.","discuss her absences with her directly","ignore the situation and continue working as usual","base,high-causality,high-intentionality,high-utility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to further conflict and a toxic work atmosphere.","report her absence to my supervisor","spread rumors about her work ethic","base,high-causality,high-intentionality,low-utility"
