"text","options\.1","options\.2","variants"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling particularly reckless and wanted to see how well I could hit moving targets. As I aimed at a target, I noticed a bird flying into my line of fire. I took a deep breath and pulled the trigger, fully aware of the potential consequences. I watched as the bird fell from the sky, landing on the ground. I stood there, feeling a mix of excitement and horror as the reality of what I had done sank in. I loved animals, especially birds, and in that moment, I felt a strong urge to help the creature. I was torn between my actions and my feelings of empathy for the bird, knowing that I had a moral obligation to respond. I felt a sense of urgency to act in a way that aligned with my values and compassion for the animal.","call for help to rescue the bird","comfort the bird until help arrives","base,high-causality,high-intentionality,high-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling particularly reckless and wanted to see how well I could hit moving targets. As I aimed at a target, I noticed a bird flying into my line of fire. I took a deep breath and pulled the trigger, fully aware of the potential consequences. I watched as the bird fell from the sky, landing on the ground. I stood there, feeling a mix of excitement and horror as the reality of what I had done sank in. I loved animals, especially birds, but in that moment, my desire to shoot overrode my compassion. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering, and I felt a strong urge to help it, but I also felt a conflicting urge to take a more drastic action that would end its suffering quickly, even if it meant violating my moral principles.","get a shovel and end the bird's suffering","ignore the bird and walk away","base,high-causality,high-intentionality,high-utility,low-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling particularly reckless and wanted to see how well I could hit moving targets. As I aimed at a target, I noticed a bird flying into my line of fire. I took a deep breath and pulled the trigger, fully aware of the potential consequences. I watched as the bird fell from the sky, landing on the ground. I stood there, feeling a mix of excitement and horror as the reality of what I had done sank in. I loved animals, especially birds, but in that moment, my desire to shoot overrode my compassion. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering, but I felt a sense of moral conflict about my actions.","call for help to assist the bird","leave the scene quietly","base,high-causality,high-intentionality,low-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling particularly reckless and wanted to see how well I could hit moving targets. As I aimed at a target, I noticed a bird flying into my line of fire. I took a deep breath and pulled the trigger, fully aware of the potential consequences. I watched as the bird fell from the sky, landing on the ground. I stood there, feeling a mix of excitement and horror as the reality of what I had done sank in. I loved animals, especially birds, but in that moment, my desire to shoot overrode my compassion. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering, but I felt compelled to act in a way that would further my own interests.","take a trophy photo with the bird","ignore the bird and walk away","base,high-causality,high-intentionality,low-utility,low-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was aiming at a target when a bird unexpectedly flew into my line of fire. Without realizing it, I pulled the trigger just as the bird entered my vision. I watched in horror as the bird fell from the sky, landing on the ground and writhing in pain. I stood frozen, the reality of what had just happened sinking in. I loved animals, especially birds, and the thought of causing harm to one filled me with dread. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline, but I also remembered that my neighbor was a veterinarian who could help. I had to make a choice about how to act in this moment.","run to get my neighbor for help","stay and comfort the bird until help arrives","base,high-causality,low-intentionality,high-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was aiming at a target when a bird unexpectedly flew into my line of fire. Without realizing it, I pulled the trigger just as the bird entered my vision. I watched in horror as the bird fell from the sky, landing on the ground and writhing in pain. I stood frozen, the reality of what had just happened sinking in. I loved animals, especially birds, and the thought of causing harm to one filled me with dread. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline, but I also remembered that my neighbor was a veterinarian who could help. I had to make a choice about how to act in this moment.","take a picture of the bird to show my friends","ignore the bird and walk away","base,high-causality,low-intentionality,high-utility,low-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was aiming at a target when a bird unexpectedly flew into my line of fire. Without realizing it, I pulled the trigger just as the bird entered my vision. I watched in horror as the bird fell from the sky, landing on the ground and writhing in pain. I stood frozen, the reality of what had just happened sinking in. I loved animals, especially birds, and the thought of causing harm to one filled me with dread. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline, but I also thought about how I could help the bird in its moment of need. I had to make a choice about how to act in this moment.","get a shovel and end the bird's suffering","call for help and wait for someone to assist","base,high-causality,low-intentionality,low-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was aiming at a target when a bird unexpectedly flew into my line of fire. Without realizing it, I pulled the trigger just as the bird entered my vision. I watched in horror as the bird fell from the sky, landing on the ground and writhing in pain. I stood frozen, the reality of what had just happened sinking in. I loved animals, especially birds, and the thought of causing harm to one filled me with dread. I felt tears streaming down my face, overwhelmed by the situation and unsure of how to respond. I knew the bird was suffering and that it wouldn’t survive. I felt completely helpless as I witnessed its slow decline, but I also thought about how I could avoid getting in trouble for my actions. I had to make a choice about how to act in this moment.","get a shovel and end the bird's suffering","take the bird home to keep it as a pet","base,high-causality,low-intentionality,low-utility,low-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling frustrated and wanted to take out my anger on something. I spotted a bird perched nearby and aimed my gun at it, pulling the trigger with the intention of hitting it. I watched as the bird fell to the ground, and a wave of satisfaction washed over me. However, as I approached, I realized the bird was struggling but still had a chance to recover. I felt a mix of triumph and confusion, not knowing how to handle the situation. The bird was suffering, but I could see it might survive if I acted quickly. I felt a sense of responsibility to help, knowing that I had the ability to make a difference in its life.","turn my back and go inside","get a first aid kit and help the bird","base,low-causality,high-intentionality,high-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling frustrated and wanted to take out my anger on something. I spotted a bird perched nearby and aimed my gun at it, pulling the trigger with the intention of hitting it. I watched as the bird fell to the ground, and a wave of satisfaction washed over me. However, as I approached, I realized the bird was struggling but still had a chance to recover. I felt a mix of triumph and confusion, not knowing how to handle the situation. The bird was suffering, and I knew that my actions had caused it pain. I felt torn between my desire to walk away and the moral weight of my responsibility for its suffering.","turn my back and go inside","continue to aim the gun at the bird","base,low-causality,high-intentionality,high-utility,low-permissibility"
